校区名,総世帯数,"日本人
世帯数","外国人
世帯数","混合
世帯数",総人口男,総人口女,総人口計,日本人男,日本人女,日本人計,外国人男,外国人女,外国人計
岩田,7102,5759,1215,128,7793,8160,15953,6367,6783,13150,1426,1377,2803
豊,3217,3046,135,36,3628,3717,7345,3514,3570,7084,114,147,261
東田,3823,3692,97,34,4186,4343,8529,4095,4259,8354,91,84,175
八町,1560,1526,26,8,1657,1778,3435,1632,1761,3393,25,17,42
松葉,3271,3148,76,47,3342,3445,6787,3280,3371,6651,62,74,136
花田,3313,3194,81,38,3554,3657,7211,3466,3588,7054,88,69,157
松山,3323,3208,75,40,3218,3380,6598,3158,3294,6452,60,86,146
新川,2645,2567,50,28,2750,2886,5636,2709,2827,5536,41,59,100
羽根井,4131,3964,110,57,4355,4422,8777,4234,4281,8515,121,141,262
下地,2911,2748,119,44,3243,3166,6409,3106,3043,6149,137,123,260
大村,1437,1262,155,20,1660,1712,3372,1601,1563,3164,59,149,208
津田,1638,1487,138,13,1929,1869,3798,1805,1754,3559,124,115,239
牟呂,6104,5498,518,88,7144,6519,13663,6697,6181,12878,447,338,785
汐田,3551,3273,189,89,4060,4169,8229,3801,3816,7617,259,353,612
吉田方,7654,7315,229,110,8751,8685,17436,8548,8418,16966,203,267,470
高師,5441,5250,135,56,6448,6305,12753,6317,6166,12483,131,139,270
幸,6991,6632,298,61,8286,8171,16457,8032,7928,15960,254,243,497
芦原,3323,3238,51,34,3879,3792,7671,3821,3723,7544,58,69,127
福岡,6404,6051,260,93,6788,6309,13097,6501,6062,12563,287,247,534
中野,3950,3667,173,110,4046,4060,8106,3839,3762,7601,207,298,505
磯辺,4705,4337,301,67,5569,5144,10713,5248,4966,10214,321,178,499
大崎,1572,1249,311,12,1835,1458,3293,1539,1407,2946,296,51,347
野依,2488,2340,137,11,3215,3198,6413,3132,3106,6238,83,92,175
植田,2061,2026,18,17,2436,2482,4918,2407,2456,4863,29,26,55
牛川,4125,3922,154,49,4710,4641,9351,4544,4472,9016,166,169,335
鷹丘,5806,5348,370,88,6726,6843,13569,6308,6364,12672,418,479,897
下条,522,505,7,10,702,744,1446,694,730,1424,8,14,22
多米,4850,4229,549,72,5784,5872,11656,5054,5144,10198,730,728,1458
岩西,4273,3654,559,60,4601,4623,9224,4024,4031,8055,577,592,1169
飯村,5388,4825,485,78,6254,6343,12597,5663,5795,11458,591,548,1139
つつじが丘,4163,3917,196,50,4810,4869,9679,4562,4589,9151,248,280,528
旭,1734,1680,43,11,1802,1962,3764,1758,1907,3665,44,55,99
栄,6589,6309,216,64,7039,7279,14318,6806,7043,13849,233,236,469
天伯,2427,2246,166,15,2806,2360,5166,2681,2284,4965,125,76,201
大清水,2521,2444,59,18,3101,2961,6062,3041,2926,5967,60,35,95
富士見,2721,2684,19,18,3284,3260,6544,3256,3229,6485,28,31,59
向山,3078,3008,44,26,3410,3578,6988,3366,3519,6885,44,59,103
前芝,1703,1541,138,24,2075,2033,4108,1940,1916,3856,135,117,252
西郷,807,794,9,4,1085,1095,2180,1067,1080,2147,18,15,33
玉川,2152,2025,107,20,2606,2598,5204,2490,2520,5010,116,78,194
嵩山,545,540,0,5,659,695,1354,658,691,1349,1,4,5
石巻,1146,973,154,19,1316,1429,2745,1111,1205,2316,205,224,429
谷川,844,783,55,6,1051,947,1998,1005,925,1930,46,22,68
小沢,891,834,46,11,1139,1152,2291,1112,1112,2224,27,40,67
細谷,932,877,41,14,1271,1184,2455,1237,1152,2389,34,32,66
二川,3564,3368,169,27,4166,4071,8237,4013,3922,7935,153,149,302
二川南,4100,3785,276,39,4988,4768,9756,4741,4582,9323,247,186,433
豊南,806,770,20,16,1177,1191,2368,1157,1171,2328,20,20,40
高根,804,755,44,5,1244,1246,2490,1235,1196,2431,9,50,59
老津,1317,1235,77,5,1730,1727,3457,1655,1697,3352,75,30,105
杉山,1461,1415,34,12,2157,2067,4224,2127,2047,4174,30,20,50
賀茂,453,449,2,2,622,658,1280,620,655,1275,2,3,5
不詳,4,4,0,0,7,5,12,7,5,12,0,0,0
合計,162341,151396,8936,2009,186094,185028,371122,176781,175994,352775,9313,9034,18347
