区分,施設名,郵便番号,住所,電話番号,地区,校区,公共・民間,マッチングレベル,世界_10進_X,世界_10進_Y
第一指定避難所,大村校区市民館,440-0081,豊橋市大村町字地之神7-4,0532-53-9658,北部,大村,公共,地番（枝番まで）・号,137.3980534,34.78997898
第一指定避難所,北部地区市民館,440-0081,豊橋市大村町字仲川原48-5,0532-53-4212,北部,大村,公共,地番（枝番まで）・号,137.3939215,34.7818986
第一指定避難所,下地校区市民館,440-0086,豊橋市下地町字宮前68,0532-53-4481,北部,下地,公共,地番・番地,137.3847799,34.77770063
第一指定避難所,津田校区市民館,440-0093,豊橋市横須賀町宮前10-2,0532-31-9644,北部,津田,公共,地番（枝番まで）・号,137.3671272,34.78070261
第一指定避難所,前芝校区市民館,441-0152,豊橋市前芝町字塩見5-1,0532-32-3750,前芝,前芝,公共,地番（枝番まで）・号,137.3376895,34.78667756
第一指定避難所,下条校区市民館,440-0002,豊橋市下条東町字西浦61-3,0532-88-1420,青陵,下条,公共,地番（枝番まで）・号,137.4150393,34.80255594
第一指定避難所,牛川校区市民館,440-0016,豊橋市牛川町字中郷13-28,0532-53-9533,青陵,牛川,公共,地番（枝番まで）・号,137.4165508,34.779754
第一指定避難所,青陵地区市民館,440-0014,豊橋市南牛川二丁目4-1,0532-61-9285,青陵,牛川,公共,地番（枝番まで）・号,137.4184507,34.77576354
第一指定避難所,旭校区市民館,440-0057,豊橋市旭町字旭535-2,0532-53-4795,青陵,旭,公共,地番（枝番まで）・号,137.4043222,34.76701356
第一指定避難所,東田校区市民館,440-0065,豊橋市仁連木町15,0532-61-9822,青陵,東田,公共,地番・番地,137.4111296,34.76987516
第一指定避難所,鷹丘校区市民館,440-0013,豊橋市西小鷹野三丁目7-1,0532-61-9821,東陵,鷹丘,公共,地番（枝番まで）・号,137.4247697,34.77275403
第一指定避難所,東陵地区市民館,440-0006,豊橋市牛川町字乗小路32-31,0532-64-8088,東陵,鷹丘,公共,地番（枝番まで）・号,137.4344601,34.77434747
第一指定避難所,賀茂校区市民館,441-1101,豊橋市賀茂町字宗末41-1,0532-88-1421,石巻,賀茂,公共,地番（枝番まで）・号,137.4352455,34.8377863
第一指定避難所,西郷校区市民館,441-1105,豊橋市石巻平野町字中野田100-3,0532-88-1422,石巻,西郷,公共,地番（枝番まで）・号,137.4694458,34.83056995
第一指定避難所,玉川校区市民館,441-1115,豊橋市石巻本町字野添11-1,0532-88-5441,石巻,玉川,公共,地番（枝番まで）・号,137.4372466,34.80020153
第一指定避難所,石巻地区市民館,441-1115,豊橋市石巻本町字市場110,0532-88-1317,石巻,玉川,公共,地番・番地,137.4390694,34.80270604
第一指定避難所,嵩山校区市民館,441-1111,豊橋市嵩山町字宮下83-1,0532-88-1412,石巻,嵩山,公共,地番（枝番まで）・号,137.4729029,34.80088509
第一指定避難所,石巻校区市民館,441-1112,豊橋市石巻町字西浦16,0532-88-1424,石巻,石巻,公共,地番・番地,137.4385166,34.78501447
第一指定避難所,豊校区市民館,440-0831,豊橋市西岩田五丁目6-2,0532-61-9860,豊岡,豊,公共,地番（枝番まで）・号,137.4212089,34.75188975
第一指定避難所,豊岡地区市民館,440-0831,豊橋市西岩田四丁目2-9,0532-61-5632,豊岡,豊,公共,地番（枝番まで）・号,137.4192126,34.75469378
第一指定避難所,岩田校区市民館,440-0832,豊橋市中岩田四丁目1-2,0532-61-9861,豊岡,岩田,公共,地番（枝番まで）・号,137.4284121,34.75677881
第一指定避難所,多米校区市民館,440-0027,豊橋市多米中町二丁目27-1,0532-61-9823,東陽,多米,公共,地番（枝番まで）・号,137.4503851,34.76119616
第一指定避難所,東陽地区市民館,440-0027,豊橋市多米中町一丁目6-1,0532-61-7741,東陽,多米,公共,地番（枝番まで）・号,137.4423591,34.75926354
第一指定避難所,二川校区市民館,441-3142,豊橋市大岩町字東郷内4-8,0532-41-1240,二川,二川,公共,地番（枝番まで）・号,137.449535,34.72582422
第一指定避難所,二川地区市民館,441-3142,豊橋市大岩町字東郷内111-1,0532-41-0551,二川,二川,公共,地番（枝番まで）・号,137.447918,34.72510808
第一指定避難所,谷川校区市民館,441-3106,豊橋市中原町字東ノ谷1-11,0532-41-4963,二川,谷川,公共,地番（枝番まで）・号,137.4789622,34.72806973
第一指定避難所,二川南校区市民館,441-3147,豊橋市大岩町字前荒田145-2,0532-41-4964,二川,二川南,公共,地番（枝番まで）・号,137.4486402,34.71402065
第一指定避難所,細谷校区市民館,441-3113,豊橋市細谷町字中ノ島54-1,0532-21-2943,五並,細谷,公共,地番（枝番まで）・号,137.4689252,34.68628694
第一指定避難所,五並地区市民館,441-3113,豊橋市細谷町字上大附98-9,0532-21-2729,五並,細谷,公共,地番（枝番まで）・号,137.4643939,34.68771777
第一指定避難所,小沢校区市民館,441-3122,豊橋市小島町字荒巻81-1,0532-21-2844,五並,小沢,公共,地番（枝番まで）・号,137.4418503,34.6803742
第一指定避難所,老津校区市民館,441-3301,豊橋市老津町字宮脇15-1,0532-23-1485,章南,老津,公共,地番（枝番まで）・号,137.3358753,34.69594965
第一指定避難所,杉山地区市民館,441-3302,豊橋市杉山町字孝仁11,0532-23-2216,章南,杉山,公共,地番・番地,137.3244361,34.67784451
第一指定避難所,富士見校区市民館,441-8135,豊橋市富士見台二丁目1-5,0532-23-1402,高豊,富士見,公共,地番（枝番まで）・号,137.3580597,34.68162697
第一指定避難所,豊南校区市民館,441-3213,豊橋市西赤沢町字南ノ谷99-9,0532-21-2845,高豊,豊南,公共,地番（枝番まで）・号,137.3631998,34.66176471
第一指定避難所,高豊地区市民館,441-3211,豊橋市伊古部町字多岸田302,0532-21-2824,高豊,豊南,公共,地番・番地,137.3826522,34.66575765
第一指定避難所,高根校区市民館,441-3202,豊橋市西七根町字中石塚1-7,0532-21-2941,高豊,高根,公共,地番（枝番まで）・号,137.4139143,34.67176595
第一指定避難所,大崎校区市民館,441-8073,豊橋市大崎町字柿ノ木16,0532-25-2045,南稜,大崎,公共,地番・番地,137.3441823,34.71707709
第一指定避難所,植田校区市民館,441-8134,豊橋市植田町字池下63-1,0532-25-2046,南稜,植田,公共,地番（枝番まで）・号,137.3670344,34.71083776
第一指定避難所,野依校区市民館,441-8124,豊橋市野依町字諏訪149-1,0532-25-2146,南稜,野依,公共,地番（枝番まで）・号,137.3877728,34.69848913
第一指定避難所,大清水校区市民館,441-8132,豊橋市南大清水町字元町78,0532-25-1243,南稜,大清水,公共,地番・番地,137.3636357,34.69570139
